Rank(total)|Country|Total(million US-$)|per Capita(US-$)|Date
1|China|21,270,000.0|15,435|2016 est.
2|United States of America|18,560,000.0|57,439|2016 est.
3|India|8,721,000.0|6,884|2016 est.
4|Japan|4,932,000.0|38,836|2016 est.
5|Germany|3,979,000.0|48,348|2016 est.
6|Russia|3,745,000.0|25,945|2016 est.
7|Brazil|3,135,000.0|15,212|2016 est.
8|Indonesia|3,028,000.0|11,761|2016 est.
9|United Kingdom of Great Britain and Northern Ireland|2,788,000.0|42,483|2016 est.
10|France|2,737,000.0|42,282|2016 est.
11|Mexico|2,307,000.0|19,081|2016 est.
12|Italy|2,221,000.0|36,650|2016 est.
13|Korea (South)|1,929,000.0|36,535|2016 est.
14|Saudi Arabia|1,731,000.0|53,678|2016 est.
15|Spain|1,690,000.0|36,326|2016 est.
16|Canada|1,674,000.0|46,133|2016 est.
17|Turkey|1,670,000.0|21,069|2016 est.
18|Iran|1,459,000.0|18,309|2016 est.
19|Australia|1,189,000.0|49,280|2016 est.
20|Thailand|1,161,000.0|17,214|2016 est.
21|Taiwan|1,125,000.0|47,840|2016 est.
22|Egypt|1,105,000.0|12,123|2016 est.
23|Nigeria|1,089,000.0|5,853|2016 est.
24|Poland|1,052,000.0|27,384|2016 est.
25|Pakistan|988,200.0|4,892|2016 est.
26|Argentina|879,400.0|20,174|2016 est.
27|Netherlands|865,900.0|50,880|2016 est.
28|Malaysia|863,800.0|27,283|2016 est.
29|Philippines|801,900.0|7,803|2016 est.
30|South Africa|736,300.0|13,230|2016 est.
31|Colombia|690,400.0|14,163|2016 est.
32|United Arab Emirates|667,200.0|74,966|2016 est.
33|Bangladesh|628,400.0|3,781|2016 est.
34|Algeria|609,400.0|15,084|2016 est.
35|Iraq|596,700.0|15,643|2016 est.
36|Vietnam|594,900.0|6,417|2016 est.
37|Belgium|508,600.0|45,019|2016 est.
38|Sweden|498,100.0|50,299|2016 est.
39|Switzerland|494,300.0|59,043|2016 est.
40|Singapore|486,900.0|86,833|2016 est.
41|Venezuela|468,600.0|15,102|2016 est.
42|Kazakhstan|460,700.0|25,885|2016 est.
43|Romania|441,000.0|22,381|2016 est.
44|Chile|436,100.0|23,972|2016 est.
45|Hong Kong|427,400.0|58,176|2016 est.
46|Austria|415,900.0|47,487|2016 est.
47|Peru|409,900.0|13,016|2016 est.
48|Norway|364,700.0|69,625|2016 est.
49|Czech Republic|350,900.0|33,224|2016 est.
50|Ukraine|349,800.0|7,771|2016 est.
51|Qatar|334,500.0|135,036|2016 est.
52|Ireland|324,300.0|68,159|2016 est.
53|Myanmar (Burma)|311,100.0|5,923|2016 est.
54|Kuwait|301,100.0|69,533|2016 est.
55|Portugal|297,100.0|28,776|2016 est.
56|Israel|297,000.0|34,750|2016 est.
57|Greece|290,500.0|27,032|2016 est.
58|Morocco|282,800.0|8,276|2016 est.
59|Hungary|267,600.0|27,256|2016 est.
60|Denmark|264,800.0|46,205|2016 est.
61|Sri Lanka|237,800.0|11,215|2016 est.
62|Finland|230,000.0|41,856|2016 est.
63|Uzbekistan|202,300.0|6,351|2016 est.
64|Angola|187,300.0|6,883|2016 est.
65|Ecuador|182,400.0|11,035|2016 est.
66|Sudan|176,300.0|4,452|2016 est.
67|New Zealand|174,800.0|37,247|2016 est.
68|Ethiopia|174,700.0|1,895|2016 est.
69|Oman|173,100.0|39,216|2016 est.
70|Slovakia|169,100.0|31,149|2016 est.
71|Azerbaijan|167,900.0|17,200|2016 est.
72|Belarus|165,400.0|17,398|2016 est.
73|Dominican Republic|160,900.0|15,970|2016 est.
74|Kenya|152,700.0|3,369|2016 est.
75|Tanzania|150,600.0|3,003|2016 est.
76|Bulgaria|143,100.0|20,071|2016 est.
77|Guatemala|132,300.0|7,995|2016 est.
78|Puerto Rico|131,000.0|38,402|2016 est.
79|Tunisia|130,800.0|11,574|2016 est.
80|Cuba|128,500.0|11,632|2014 est.
81|Ghana|120,800.0|4,267|2016 est.
82|Serbia|101,500.0|14,382|2016 est.
83|Turkmenistan|94,770.0|17,910|2016 est.
84|Croatia|94,240.0|22,558|2016 est.
85|Panama|93,120.0|23,066|2016 est.
86|Libya|90,890.0|13,893|2016 est.
87|Côte d'Ivoire (Ivory Coast)|87,120.0|3,702|2016 est.
88|Jordan|86,190.0|8,968|2016 est.
89|Lithuania|85,790.0|29,869|2016 est.
90|Lebanon|85,160.0|13,652|2016 est.
91|Uganda|84,930.0|2,321|2016 est.
92|Costa Rica|79,260.0|16,207|2016 est.
93|Bolivia|78,350.0|7,132|2016 est.
94|Cameroon|77,240.0|3,403|2016 est.
95|Uruguay|73,930.0|21,243|2016 est.
96|Yemen|73,450.0|2,681|2016 est.
97|Nepal|71,520.0|2,516|2016 est.
98|Bahrain|66,370.0|46,679|2016 est.
99|Slovenia|66,130.0|32,027|2016 est.
100|Congo (Democratic Republic)|66,010.0|812|2016 est.
101|Zambia|65,170.0|4,090|2016 est.
102|Paraguay|64,120.0|9,354|2016 est.
103|Afghanistan|64,080.0|2,198|2016 est.
104|Macau|63,220.0|97,127|2016 est.
105|Cambodia|58,940.0|3,772|2016 est.
106|Luxembourg|58,740.0|100,773|2016 est.
107|Syria|55,800.0|3,270|2015 est.
108|El Salvador|54,790.0|8,402|2016 est.
109|Latvia|50,870.0|25,949|2016 est.
110|Trinidad and Tobago|43,570.0|32,181|2016 est.
111|Honduras|43,190.0|4,952|2016 est.
112|Bosnia and Herzegovina|42,530.0|12,095|2016 est.
113|Laos|40,960.0|6,214|2016 est.
114|Korea (North)|40,000.0|1,610|2014 est.
115|Senegal|39,720.0|2,684|2016 est.
116|Estonia|38,700.0|29,431|2016 est.
117|Mali|38,090.0|2,076|2016 est.
118|Madagascar|37,490.0|1,584|2016 est.
119|Georgia|37,380.0|9,331|2016 est.
120|Mongolia|36,650.0|11,838|2016 est.
121|Botswana|36,510.0|16,366|2016 est.
122|Gabon|36,220.0|18,890|2016 est.
123|Mozambique|35,310.0|1,336|2016 est.
124|Albania|34,210.0|11,868|2016 est.
125|Brunei|33,730.0|79,834|2016 est.
126|Nicaragua|33,490.0|5,294|2016 est.
127|Burkina Faso|32,990.0|1,733|2016 est.
128|Equatorial Guinea|31,770.0|25,360|2016 est.
129|Chad|30,590.0|2,581|2016 est.
