Rank|Country|Pollution Index|Exp Pollution Index
1|Mongolia|93.06|170.75
2|Myanmar|92.25|168.03
3|Afghanistan|91.91|165.57
4|Bangladesh|88.30|158.96
5|Lebanon|87.39|155.98
6|Nigeria|87.37|156.50
7|Vietnam|87.13|156.20
8|Egypt|86.48|154.43
9|Nepal|84.98|151.46
10|Monaco|84.74|156.08
11|Peru|83.80|149.76
12|China|81.91|148.92
13|Macedonia|80.85|147.31
14|Ethiopia|80.44|142.03
15|Jordan|80.39|142.27
16|Cambodia|80.03|141.86
17|Iran|79.35|145.47
18|Iraq|79.32|140.01
19|Azerbaijan|78.32|137.95
20|Dominican Republic|77.43|136.22
21|Albania|77.07|135.22
22|Pakistan|75.89|133.09
23|India|75.81|133.15
24|Philippines|74.47|130.90
25|Kazakhstan|74.25|135.31
26|Venezuela|73.88|130.79
27|Malta|73.75|129.25
28|Bahrain|73.33|132.98
29|Kenya|72.96|129.16
30|Georgia|72.46|131.00
31|Thailand|72.21|126.13
32|Kuwait|71.60|126.94
33|Jamaica|71.13|124.87
34|Zimbabwe|70.99|125.59
35|Turkey|69.15|121.22
36|Tunisia|68.16|118.74
37|Saudi Arabia|67.26|118.24
38|Trinidad And Tobago|66.96|115.79
39|Ukraine|66.63|115.57
40|Qatar|66.48|117.57
41|Hong Kong|66.39|118.19
42|Mexico|66.02|113.99
43|Morocco|65.71|113.93
44|Chile|65.54|120.58
45|Algeria|64.69|113.12
46|Tanzania|64.50|113.22
47|Bulgaria|63.98|115.84
48|Malaysia|63.74|109.25
49|Bosnia And Herzegovina|63.47|113.34
50|Taiwan|63.47|110.59
51|Russia|62.80|108.07
52|Indonesia|62.78|107.43
53|Panama|62.00|109.33
54|Colombia|61.74|110.82
55|Armenia|61.55|111.54
56|Serbia|58.86|101.40
57|Mauritius|58.48|100.39
58|Brazil|57.72|98.82
59|Sri Lanka|57.69|98.43
60|Israel|57.25|101.22
61|South Africa|56.95|97.14
62|Ecuador|56.89|96.96
63|Romania|55.39|93.60
64|South Korea|54.19|98.10
65|Cyprus|53.75|90.85
66|Italy|53.75|90.89
67|United Arab Emirates|53.11|90.82
68|Poland|52.38|92.97
69|Argentina|52.35|89.18
70|Greece|51.86|90.50
71|Costa Rica|50.21|87.05
72|Belgium|49.89|84.60
73|Puerto Rico|49.18|84.60
74|Uruguay|46.63|82.54
75|Hungary|46.47|79.89
76|Montenegro|45.23|76.90
77|France|42.70|71.32
78|Slovakia|41.89|70.72
79|Belarus|40.97|67.62
80|Czech Republic|40.96|69.06
81|Oman|39.51|64.12
82|United Kingdom|39.43|64.81
83|Spain|39.36|64.68
84|Japan|37.08|59.41
85|Latvia|34.96|56.68
86|United States|33.95|56.49
87|Singapore|32.29|54.68
88|Portugal|31.58|51.43
89|Ireland|31.12|52.00
90|Croatia|31.03|50.66
91|Lithuania|30.84|50.41
92|Germany|28.01|44.75
93|Canada|27.85|45.65
94|Netherlands|27.45|45.05
95|Slovenia|24.33|43.03
96|Australia|23.97|38.67
97|New Zealand|22.74|38.73
98|Luxembourg|22.61|33.95
99|Denmark|22.14|33.98
100|Switzerland|22.03|35.61
101|Austria|21.97|36.01
102|Norway|19.86|32.50
103|Estonia|18.15|30.43
104|Sweden|18.01|28.74
105|Iceland|15.24|26.81
106|Finland|11.93|21.00
