$VAR__
Name|Platform|Year|Publisher|Global_Sales
Worms Armageddon|N64|1999|Infogrames|0.04
World Series Baseball 2K3|PS2|2003|Sega|0.25
MotorStorm|PS3|2006|Sony Computer Entertainment|3.88
The Sims 3: Seasons|PC|2012|Electronic Arts|0.17
Pitfall: The Lost Expedition|GBA|2003|Activision|0.07
WWF in Your House|PS|1996|Acclaim Entertainment|0.62
Killer Instinct|SNES|1995|Nintendo|3.2
Parlor! Mini 4|SNES|1996|Nippon Telenet|0.19
Original Frisbee Disc Sports: Ultimate & Golf|DS|2007|Destination Software, Inc|0.01
Star Wars Battlefront (2015)|PS4|2015|Electronic Arts|7.67
Black Jack vs. Matsudajun|PS|2000|Pony Canyon|0.05
Sleeping Dogs|PS4|2014|Square Enix|0.43
Tom and Jerry in War of the Whiskers|GC|2003|NewKidCo|0.07
Taito Legends 2|PS2|2006|Empire Interactive|0.02
Need for Speed: The Run|PS3|2011|Electronic Arts|2.04
Nacho Libre|DS|2006|Majesco Entertainment|0.03
Mega Man Network Transmission|GC|2003|Capcom|0.17
Smart Girl's Winter Wonderland|DS|2008|UFO Interactive|0.03
Moshi Monsters: Moshlings Theme Park|3DS|2012|Activision|0.28
Teenage Mutant Ninja Turtles: Smash-Up|Wii|2009|Ubisoft|0.36
Tom Clancy's Ghost Recon|GC|2003|Ubisoft|0.15
Game & Watch Gallery 2|GB|1997|Nintendo|1.22
Tiger Woods PGA Tour 10|X360|2009|Electronic Arts|0.65
Drakengard|PS2|2003|Square Enix|0.65
Sniper Elite V2|PS3|2012|505 Games|0.98
NHL 09|PC|2008|Electronic Arts|0.02
Peak Performance|PS|1997|JVC|0.03
Forza Motorsport 4|X360|2011|Microsoft Game Studios|4.64
Need for Speed Carbon|XB|2006|Electronic Arts|0.47
Doom 3|XB|2005|Activision|1.34
From The Abyss|DS|2008|Nobilis|0.06
Penguin no Mondai: Saikyou Penguin Densetsu! A Penguin's Troubles|DS|2008|Konami Digital Entertainment|0.29
Rocky|GC|2002|Rage Software|0.09
Motto Hayaku! Seikaku Ni! Suu Sense Keisan Ryuoku Up Training - SuuTore|DS|2008|Benesse|0.02
Exit|PSP|2005|Ubisoft|0.08
SingStar '90s|PS2|2007|Sony Computer Entertainment|0.87
FIFA World Cup Germany 2006|PS2|2006|Electronic Arts|0.57
NCAA GameBreaker 2004|PS2|2003|Sony Computer Entertainment|0.23
Future Tactics: The Uprising|XB|2004|JoWood Productions|0.03
Charlie and the Chocolate Factory|XB|2005|Global Star|0.11
Pac-Man World 3|GC|2005|Namco Bandai Games|0.09
Power Pro Kun Pocket 2|GB|2000|Konami Digital Entertainment|0.25
SD Gundam: Gashapon Wars|GC|2005|Namco Bandai Games|0.07
Evil Dead: Hail to the King|PS|2000|THQ|0.27
Tsurugi no Machi no Ihoujin: Kuro no Kyuuden|PSV|2015|Experience Inc.|0.04
Clive Barker's Jericho|PC|2007|Codemasters|0.01
Hybrid Heaven|N64|1999|Konami Digital Entertainment|0.25
OverBlood|PS|1996|Electronic Arts|0.32
Dengeki Bunko Fighting Climax|PS3|2014|Sega|0.16
Tom Clancy's Rainbow Six: Vegas|X360|2006|Ubisoft|1.96
A.C.E.: Another Century's Episode Portable|PSP|2011|Namco Bandai Games|0.12
Sloane to MacHale no Nazo no Monogatari|DS|2009|Level 5|0.2
Halo: Combat Evolved|PC|2003|Microsoft Game Studios|0.04
River City Soccer Hooligans|DS|2010|Arc System Works|0.05
Tao Feng: Fist of the Lotus|XB|2003|Microsoft Game Studios|0.27
Mad Maestro!|PS2|2001|Eidos Interactive|0.06
Atelier Iris: Eternal Mana|PS2|2004|Tecmo Koei|0.15
Ben 10 Omniverse 2|3DS|2013|Namco Bandai Games|0.02
Zone of the Enders|PS2|2001|Konami Digital Entertainment|0.75
Pokemon Ruby/Pokemon Sapphire|GBA|2002|Nintendo|15.85
Meitantei Evangelion|PS2|2007|Broccoli|0.02
Mouse Trap|2600|1981|Coleco|0.4
Rhapsody: A Musical Adventure|PS|1998|Nippon Ichi Software|0.04
Shin Sangoku Musou 6 Special|PSP|2011|Tecmo Koei|0.11
NHL 15|PS4|2014|Electronic Arts|0.58
TalkMan|PSP|2006|Sony Computer Entertainment|0.02
Far Cry 3|X360|2012|Ubisoft|3.04
Star Wars Racer Revenge|PS2|2002|LucasArts|0.31
Pokémon Platinum Version|DS|2008|Nintendo|7.84
Marvel Super Hero Squad: The Infinity Gauntlet|X360|2010|THQ|0.15
Rapala Pro Bass Fishing 2010|PS3|2010|Activision|0.27
Ferrari: The Race Experience|Wii|N/A|System 3 Arcade Software|0.02
Front Mission Evolved|PC|2010|Square Enix|0.05
Petz: Dolphinz Encounter|DS|2009|Ubisoft|0.03
NBA in the Zone 2000|PS|2000|Konami Digital Entertainment|0.21
Paragon|PS4|2016|Epic Games|0.01
Mega Man Zero 4|GBA|2005|Capcom|0.11
Maximum Force|PS|1997|GT Interactive|0.11
Just Dance 2016|PS3|2015|Ubisoft|0.22
Spyro: Attack of the Rhynocs|GBA|2003|Universal Interactive|0.3
Blacksite: Area 51|X360|2007|Midway Games|0.57
FIFA Street|PS2|2005|Electronic Arts|0.31
Shrek 2|GC|2004|Activision|1.02
Tropico 4: Modern Times|PC|2012|Kalypso Media|0.02
Star Wars: The Force Unleashed|DS|2008|LucasArts|0.9
Little Busters! Converted Edition|PSP|2010|Prototype|0.04
Wall-E|PSP|2008|THQ|0.65
All Grown Up!: Game Boy Advance Video Volume 1|GBA|2004|N/A|0.24
Agile Warrior F-111X|PS|1995|Virgin Interactive|0.14
The Amazing Spider-Man 2 (2014)|XOne|2014|Activision|0.21
Hello Kitty's Cube Frenzy|PS|1998|Culture Publishers|0.09
RPG Maker 3|PS2|2004|Enterbrain|0.06
Re-Volt|PS|1998|Acclaim Entertainment|0.19
Nobunaga's Ambition (3DS)|3DS|2013|Tecmo Koei|0.04
Samurai Shodown|NG|1993|SNK|0.07
WCW/NWO Thunder|PS|1998|THQ|1.69
Cabela's Dangerous Hunts 2009|PS3|2008|Activision Value|0.13
MLB SlugFest 20-03|GC|2002|Midway Games|0.15
Adventure Time: The Secret of the Nameless Kingdom|3DS|2014|Little Orbit|0.08
World Series of Poker: Tournament of Champions 2007 Edition|PSP|2006|Activision|0.11
Jet X20|PS2|N/A|Unknown|0.23
Tales of Xillia 2|PS3|2012|Namco Bandai Games|0.87
Harry Potter and the Half-Blood Prince|DS|2009|Electronic Arts|0.63
Go Diego Go! Safari Rescue|Wii|2008|Take-Two Interactive|0.53
Atelier Shallie: Alchemists of the Dusk Sea|PS3|2014|Tecmo Koei|0.2
Gothic Universe|PC|2007|JoWood Productions|0.04
Ultimate Puzzle Games|GBA|2005|Telegames|0.02
Battle vs. Chess|PC|N/A|TopWare Interactive|0.03
NASCAR: Dirt to Daytona|PS2|N/A|Unknown|0.58
Chou!! Super Nep League DS|DS|2008|Jaleco|0.02
Brothers: A Tale of Two Sons|PS4|2015|505 Games|0.13
Rocky|PS2|2002|Rage Software|0.86
Cartoon Network Collection: Game Boy Advance Video Platinum Edition|GBA|2005|N/A|0.32
Spider-Man: Shattered Dimensions|PS3|2010|Activision|0.45
Harukanaru Toki no Naka de: Maihitoyo|PS2|2006|Tecmo Koei|0.04
The Suite Life of Zack & Cody: Tipton Trouble|DS|2006|Disney Interactive Studios|0.25
Bloody Roar II|PS|1999|Virgin Interactive|0.46
Transformers: Revenge of the Fallen (DS Versions)|DS|2009|Activision|0.33
Combat|2600|N/A|Atari|1.25
Shin Megami Tensei NINE|XB|2002|Atlus|0.05
F-1 Grand Prix|SNES|1992|Video System|0.28
Rat Attack!|N64|2000|Mindscape|0.02
Puyo Pop Fever|GC|2004|Sega|0.01
Dragon Shadow Spell|PS2|2007|Flight-Plan|0.08
Imagine: Fashion Designer|3DS|2011|Ubisoft|0.13
Quick Yoga Training|DS|2008|Ubisoft|0.14
Drake of the 99 Dragons|XB|N/A|Unknown|0.07
NBA Jam Extreme|PS|1996|Acclaim Entertainment|0.22
World Soccer Jikkyou Winning Eleven 2000: U-23 Medal heno Chousen|PS|2000|Konami Digital Entertainment|0.41
Saturn Bomberman|SAT|1996|Sega|0.15
Dante's Inferno|PSP|2010|Electronic Arts|0.19
Okami|PS3|2012|Capcom|0.14
Super Mario Bros.: The Lost Levels|NES|1986|Nintendo|2.65
World Series of Poker: Tournament of Champions 2007 Edition|X360|2006|Activision|0.16
Happy Feet Two|Wii|N/A|Warner Bros. Interactive Entertainment|0.09
Trigger Man|GC|2004|Crave Entertainment|0.02
Neighborhood Games|Wii|2009|THQ|0.2
God Eater Resurrection|PS4|2015|Namco Bandai Games|0.08
STORM: Frontline Nation|PC|2011|Unknown|0.01
Diddy Kong Racing|N64|1997|Nintendo|4.88
Zathura|PS2|2005|Take-Two Interactive|0.12
The Godfather II|X360|2009|Electronic Arts|0.79
Soul Reaver 2|PS2|2001|Eidos Interactive|0.55
Brothers In Arms: Earned in Blood|XB|2005|Ubisoft|0.31
DJ Hero 2|Wii|2010|Activision|0.63
Jikkyou Powerful Pro Yakyuu 5|N64|1998|Konami Digital Entertainment|0.27
Mario Tennis Ultra Smash|WiiU|2015|Nintendo|0.45
Pastel Chime Continue|PSP|2010|5pb|0.02
Mega Man X7|PS2|2003|Capcom|0.58
King Arthur II|PC|2011|Paradox Interactive|0.03
Stuntman|GBA|2003|Atari|0.04
Sin and Punishment|N64|2000|Nintendo|0.13
Tennis no Oji-Sama: DokiDoki Survival - Umibe no Secret|PS2|2007|Konami Digital Entertainment|0.04
Toy Soldiers: War Chest|PS4|2015|Ubisoft|0.07
Godzilla: Save the Earth|XB|2004|Atari|0.14
FIFA 15|PC|2014|Electronic Arts|0.3
G-Force|PS3|2009|Disney Interactive Studios|0.22
Cabela's Outdoor Adventures (2009)|X360|2009|Activision Value|0.24
ATV Quad Power Racing 2|XB|2003|Acclaim Entertainment|0.45
XCOM 2|PS4|2016|Take-Two Interactive|0.04
187: Ride or Die|XB|2005|Ubisoft|0.06
Midway Arcade Treasures 2|GC|2004|Midway Games|0.16
Silent Scope 2: Dark Silhouette|PS2|2001|Konami Digital Entertainment|0.19
The Sims 3: Late Night Expansion Pack|PC|2010|Electronic Arts|1.71
Stronghold Crusader Extreme|PC|2008|Gamecock|0.02
CID The Dummy|PSP|2009|Oxygen Interactive|0.03
Injustice: Gods Among Us|PS4|2013|Warner Bros. Interactive Entertainment|0.87
Tatsunoko vs. Capcom: Ultimate All-Stars|Wii|2010|Capcom|0.55
Clover no Kuni no Alice: Wonderful Wonder World|PS2|2010|Prototype|0.02
Jissen Pachi-Slot Hisshouhou! Moujuu-Oh S|PS2|2002|Sammy Corporation|0.28
Mystery Legends: Beauty and the Beast|PC|2012|Focus Multimedia|0.01
TimeShift|X360|2007|Vivendi Games|0.41
Mirror's Edge Catalyst|PS4|2016|Electronic Arts|0.32
Shakugan no Shana|PS2|2006|Media Works|0.03
Red Faction: Guerrilla|PC|2009|THQ|0.03
State of Decay|XOne|2015|Microsoft Game Studios|0.2
King Arthur|XB|2004|Konami Digital Entertainment|0.05
White Album 2: Shiawase no Mukougawa|PS3|2012|Aqua Plus|0.04
Dream C Club|X360|2009|D3Publisher|0.07
Crazy Chicken: Star Karts|DS|2008|Phenomedia|0.03
Far East of Eden II: Manji Maru|PS2|2003|Hudson Soft|0.17
Bio FREAKS|N64|1998|GT Interactive|0.14
Shrek Smash n' Crash Racing|GC|2006|Activision|0.13
Teenage Mutant Ninja Turtles|GBA|2003|Unknown|0.93
Gaia Saver Hero Saidai no Sakusen|SNES|1994|Banpresto|0.03
Mortal Kombat X|PS4|2015|Warner Bros. Interactive Entertainment|2.7
Pure|X360|2008|Disney Interactive Studios|2.48
Hero Bank 2|3DS|2014|Sega|0.05
Dragon Quest IV: Michibikareshi Monotachi|PS|2001|Enix Corporation|1.21
Namco Soccer Prime Goal|PS|1995|Sony Computer Entertainment|0.13
Dead Head Fred|PSP|2007|D3Publisher|0.04
Girl Time|DS|2009|THQ|0.11
World Class Track Meet|NES|1986|Namco Bandai Games|3.08
Band Hero|PS3|2009|Activision|0.75
Rugrats: Search For Reptar|PS|1998|THQ|3.34
Touch 'N' Play Collection|DS|2010|O-Games|0.07
Bladestorm: The Hundred Years' War|X360|2007|Tecmo Koei|0.1
Sonic Adventure 2|DC|2001|Sega|0.12
Naruto Shippuden: Ultimate Ninja Storm Generations|PS3|2012|Namco Bandai Games|0.74
Assassin's Creed|X360|2007|Ubisoft|5.55
Winning Post World|PS3|2009|Tecmo Koei|0.05
Kono Aozora ni Yakusoku o: Tenohira no Rakuen|PSP|2009|TGL|0.01
NCAA Football 14|PS3|2013|Electronic Arts|0.8
Monsters vs. Aliens|X360|2009|Activision|0.17
NBA Live 08|Wii|2007|Electronic Arts|0.18
Warhammer 40,000: Dawn of War: Soulstorm|PC|2008|THQ|0.02
LEGO Marvel's Avengers|WiiU|2016|Warner Bros. Interactive Entertainment|0.23
NBA Jam Tournament Edition|GEN|1994|Acclaim Entertainment|1.11
MX vs. ATV Untamed|PS3|2007|THQ|0.46
SBK X: Superbike World Championship|PS3|2010|Black Bean Games|0.22
Shrek the Third|X360|2007|Activision|0.69
Destroy All Humans!|XB|2005|THQ|0.46
DreamWorks Super Star Kartz|PS3|2011|Activision|0.12
NBA Live 15|PS4|2014|Electronic Arts|0.23
Yanya Caballista: City Skater|PS2|2001|Tecmo Koei|0.05
UFC Undisputed 3|X360|2012|THQ|1
Bottom of the 9th|PS|1996|Konami Digital Entertainment|0.14
Terminator 3: Rise of the Machines|GBA|2003|Atari|0.06
12-Sai. Honto no Kimochi|3DS|2014|Happinet|0.07
Transformer: Rise of the Dark Spark|WiiU|2014|Activision|0.07
Harvest Moon: Magical Melody|Wii|2008|Rising Star Games|0.31
Cars|GBA|2006|THQ|1.13
Red Dead Revolver|PS2|2004|Take-Two Interactive|1.45
The Magical Quest starring Mickey Mouse|SNES|1992|Capcom|1.21
